PropertyID,BHKs,FloorArea,Bathrooms,Type_of_Sale,Furnishing_Status,Locality,Price_in_Lacs,Property_URL,Image_URL,Posted_On,Last_Modified_On
33812353,3,1588,2,Resale,Semi-Furnished,Ballygunge,170,https://www.magicbricks.com/propertyDetails/3-BHK-1588-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423333383132333533,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/17/Photo_h180_w240/33812353_1_OSISES_180_240.jpg,"Apr 17, '18",37:27.0
33564417,3,1972,3,Resale,Unfurnished,Ballygunge,220,https://www.magicbricks.com/propertyDetails/3-BHK-1972-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-Place-in-Kolkata&id=4d423333353634343137,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Mar/17/Photo_h180_w240/33140127_2_PropertyImage751-948243229823_180_240.jpg,"Apr 20, '18",37:27.2
31106283,4,2850,3,New,Unfurnished,Ballygunge,271,https://www.magicbricks.com/propertyDetails/4-BHK-2850-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423331313036323833,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-6-Fort-Elanta-Kolkata-5094199_600_697_310_462.jpg,"May 06, '18",37:29.7
32895383,4,2762,4,New,Unfurnished,Ballygunge,499,https://www.magicbricks.com/propertyDetails/4-BHK-2762-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423332383935333833,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Mar/05/Photo_h180_w240/32895383_1_image008-587x480_180_240.png,"May 04, '18",37:29.9
32684709,4,2158,3,New,Unfurnished,Ballygunge,166,https://www.magicbricks.com/propertyDetails/4-BHK-2158-Sq-ft-Multistorey-Apartment-FOR-Sale-Park-Circus-in-Kolkata&id=4d423332363834373039,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-10-Elixir-Kolkata-5113049_796_1000_310_462.jpg,"Mar 13, '18",37:30.2
32732159,4,2182,3,New,Unfurnished,Ballygunge,168,https://www.magicbricks.com/propertyDetails/4-BHK-2182-Sq-ft-Multistorey-Apartment-FOR-Sale-Park-Circus-in-Kolkata&id=4d423332373332313539,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Feb/24/Photo_h180_w240/32732159_8_Ext1_180_240.jpg,"May 04, '18",37:30.3
33108273,4,2182,3,New,Unfurnished,Ballygunge,168,https://www.magicbricks.com/propertyDetails/4-BHK-2182-Sq-ft-Multistorey-Apartment-FOR-Sale-Park-Circus-in-Kolkata&id=4d423333313038323733,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Mar/15/Photo_h180_w240/33108273_3_elixir-elevation-15564506_180_240.jpeg,"May 05, '18",37:30.4
31111743,4,3127,4,New,Unfurnished,Ballygunge,565,https://www.magicbricks.com/propertyDetails/4-BHK-3127-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423331313131373433,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Dec/07/Photo_h180_w240/31111743_1_image008-587x480_180_240.png,"May 06, '18",37:30.5
33950653,4,2075,3,New,Unfurnished,Ballygunge,159,https://www.magicbricks.com/propertyDetails/4-BHK-2075-Sq-ft-Multistorey-Apartment-FOR-Sale-Park-Circus-in-Kolkata&id=4d423333393530363533,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/24/Photo_h180_w240/33950653_2_elixir-elevation-15564505_180_240.jpeg,"Apr 24, '18",37:30.8
33812701,4,2018,4,Resale,Unfurnished,Ballygunge,242,https://www.magicbricks.com/propertyDetails/4-BHK-2018-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423333383132373031,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/17/Photo_h180_w240/33812701_2_OSISES_180_240.jpg,"Apr 17, '18",37:30.9
